,level_0,index,joined
0,3,2022-07-01,248
1,0,2022-07-02,506
2,7,2022-07-03,140
3,6,2022-07-04,155
4,30,2022-07-05,25
5,20,2022-07-06,51
6,16,2022-07-07,72
7,25,2022-07-08,38
8,31,2022-07-09,25
9,11,2022-07-10,100
10,12,2022-07-11,94
11,1,2022-07-12,463
12,9,2022-07-13,104
13,8,2022-07-14,138
14,27,2022-07-15,32
15,38,2022-07-16,10
16,13,2022-07-17,86
17,2,2022-07-18,251
18,18,2022-07-19,61
19,17,2022-07-20,64
20,41,2022-07-21,8
21,14,2022-07-22,82
22,21,2022-07-23,48
23,24,2022-07-24,38
24,15,2022-07-25,75
25,22,2022-07-26,44
26,29,2022-07-27,26
27,19,2022-07-28,59
28,4,2022-07-29,219
29,35,2022-07-30,15
30,5,2022-07-31,156
31,10,2022-08-01,102
32,28,2022-08-02,26
33,48,2022-08-03,4
34,40,2022-08-04,8
35,45,2022-08-05,5
36,34,2022-08-06,16
37,39,2022-08-07,8
38,37,2022-08-08,13
39,36,2022-08-09,14
40,43,2022-08-10,5
41,44,2022-08-11,5
42,23,2022-08-12,42
43,32,2022-08-13,21
44,42,2022-08-14,7
45,46,2022-08-15,5
46,26,2022-08-16,32
47,33,2022-08-17,19
48,47,2022-08-18,5
